ontology,measure,in-cluster_similarity_score,inter-cluster_similarity_score
BP,Jiang,0.156,0.128
BP,Lin,0.172,0.14
BP,Rel,0.153,0.109
BP,Resnik,0.104,0.077
BP,Wang,0.2,0.151
CC,Jiang,0.438,0.509
CC,Lin,0.248,0.23
CC,Rel,0.194,0.16
CC,Resnik,0.077,0.066
CC,Wang,0.338,0.349
MF,Jiang,0.286,0.291
MF,Lin,0.209,0.156
MF,Rel,0.181,0.108
MF,Resnik,0.09,0.048
MF,Wang,0.281,0.288
