,BP_intra-cluster,BP_inter-cluster,BP_difference,CC_intra-cluster,CC_inter-cluster,CC_difference,MF_intra-cluster,MF_inter-cluster,MF_difference
blossom_01,0.1482,0.1116,0.0366,0.281,0.2456,0.0354,0.2356,0.162,0.0736
blossom_02,0.1136,0.108,0.0056,0.2646,0.2376,0.027,0.2196,0.1834,0.0362
edge_betweenness,0.148,0.1078,0.0402,0.2716,0.2522,0.0194,0.2238,0.1818,0.042
fast_greedy,0.1454,0.1076,0.0378,0.2698,0.2524,0.0174,0.2218,0.1812,0.0406
hungarian_algorithm,0.158,0.111,0.047,0.2752,0.2528,0.0224,0.2378,0.1758,0.062
label_propagation,0.1648,0.107,0.0578,0.2838,0.2544,0.0294,0.2442,0.1766,0.0676
leading_eigen,0.1462,0.1076,0.0386,0.2704,0.2524,0.018,0.223,0.182,0.041
louvain_algorithm,0.1464,0.1078,0.0386,0.2706,0.2522,0.0184,0.223,0.1818,0.0412
walktrap_algorithm,0.1494,0.1072,0.0422,0.2716,0.2522,0.0194,0.2244,0.179,0.0454
