ontology,measure,in-cluster_similarity_score,inter-cluster_similarity_score
BP,Jiang,0.156,0.109
BP,Lin,0.165,0.121
BP,Rel,0.143,0.096
BP,Resnik,0.092,0.069
BP,Wang,0.171,0.143
CC,Jiang,0.479,0.478
CC,Lin,0.254,0.222
CC,Rel,0.192,0.156
CC,Resnik,0.077,0.069
CC,Wang,0.347,0.337
MF,Jiang,0.33,0.291
MF,Lin,0.221,0.17
MF,Rel,0.162,0.115
MF,Resnik,0.067,0.044
MF,Wang,0.329,0.286
