ontology,measure,in-cluster_similarity_score,inter-cluster_similarity_score
BP,Jiang,0.146,0.114
BP,Lin,0.155,0.128
BP,Rel,0.129,0.103
BP,Resnik,0.086,0.072
BP,Wang,0.162,0.137
CC,Jiang,0.472,0.479
CC,Lin,0.239,0.236
CC,Rel,0.172,0.166
CC,Resnik,0.073,0.071
CC,Wang,0.352,0.345
MF,Jiang,0.31,0.292
MF,Lin,0.19,0.167
MF,Rel,0.136,0.113
MF,Resnik,0.056,0.048
MF,Wang,0.31,0.299
