ontology,measure,in-cluster_similarity_score,inter-cluster_similarity_score
BP,Jiang,0.129,0.098
BP,Lin,0.139,0.12
BP,Rel,0.112,0.094
BP,Resnik,0.077,0.069
BP,Wang,0.147,0.13
CC,Jiang,0.482,0.423
CC,Lin,0.235,0.201
CC,Rel,0.166,0.14
CC,Resnik,0.07,0.065
CC,Wang,0.355,0.326
MF,Jiang,0.311,0.256
MF,Lin,0.179,0.142
MF,Rel,0.123,0.096
MF,Resnik,0.048,0.043
MF,Wang,0.309,0.274
