IW,E2MROW,R2MEOW,condition_01,condition_02
3.91641481643149,0,1.10820603333986,TRUE,TRUE
12.9715854716196,4.26844866145192,0.944315394401138,TRUE,TRUE
4.94857480863229,0,0.473270648320396,TRUE,TRUE
1.42691254685173,0,1.8799606586741,TRUE,TRUE
1.40068850213574,0,0,TRUE,TRUE
3.29009058583622,0,0,TRUE,TRUE
1.44668346905889,0,0,TRUE,TRUE
4.08698547976787,0.966530821111497,1.67329935896352,TRUE,TRUE
3.40534885101418,0,2.50815798262016,TRUE,TRUE
3.7392174854025,0,0,TRUE,TRUE
1.87566315952208,1.02612951375088,0,TRUE,TRUE
1.40244179886029,0.448983450489101,0,TRUE,TRUE
1.72077661943878,0.944560578267332,0.539712883833215,TRUE,TRUE
4.05140099523542,0.963718453788035,1.07292520036663,TRUE,TRUE
4.63355958375745,1.5090124935815,0,TRUE,TRUE
3.20972863090398,0,0,TRUE,TRUE
5.54866028037325,0.592532827762403,0.520068639683642,TRUE,TRUE
