from,to,weight
1,5,0.0108472183076602
1,13,0.00826432798483173
1,26,0.00914781356737935
1,28,0.00600669482172704
1,31,0.01399925108146
2,4,0.00531534897935413
2,10,0.00420881446357655
2,11,0.0045124211407886
2,12,0.0117645714883062
2,20,0.0110127194880859
2,22,0.00402294320013328
2,29,0.00392450426943837
3,6,0.0219896640853782
3,9,0.0121329879511513
3,29,0.00739961289106859
4,11,0.0118690566822231
4,15,0.0608424162191139
4,19,0.0127943606748453
4,21,0.0272103073261279
4,24,0.0474132010932544
5,7,0.020329755121913
5,9,0.0307358588377696
5,13,0.0158759221829286
5,25,0.00764703678782122
5,26,0.00454268491665477
6,7,0.00843058974780967
6,9,0.0142944756303798
6,26,0.00459004173649825
7,9,0.00895667752582503
7,16,0.00619066218291012
7,20,0.0027858092708611
7,29,0.0118732817354504
7,30,0.00837381487832307
8,27,0.00546785427268156
9,24,0.00958368357033651
9,27,0.00757190580709856
9,30,0.0110318566978145
10,17,0.00715277669415208
10,20,0.00905114988149036
10,22,0.00701407931619536
10,23,0.00829289028437108
10,26,0.00408913373705782
10,27,0.0234309109277456
11,18,0.0154179435791057
11,20,0.00696400103521807
11,21,0.0109235701572763
11,24,0.0109295658150139
11,25,0.00670890485833348
11,29,0.00662227779611975
12,14,0.00252644962889903
12,20,0.00977578942946846
13,19,0.00815893833660948
13,20,0.00327071535367928
13,30,0.00842203144734813
14,20,0.00701090526887474
14,25,0.00306105923486259
15,19,0.0117256623157708
15,21,0.0263127243664666
15,24,0.0202568083873116
15,25,0.0069890373147648
15,26,0.0108792139209122
15,31,0.00656209042715894
17,20,0.00236504615947287
17,22,0.0220962395544344
17,25,0.00486785511180362
17,27,0.00517951091751279
18,19,0.0382096574992329
18,21,0.0167541589716638
18,24,0.0120090130884533
18,26,0.00504900839438531
19,20,0.00327982848031315
20,27,0.00257130719718582
20,29,0.0111183980865797
21,24,0.00941888750690436
21,31,0.00701681503556458
22,27,0.00605839691029994
24,31,0.00569714624730385
26,29,0.00391037872867505
26,30,0.00536479752204984
26,31,0.0114136105045595
27,29,0.00925882764900283
28,29,0.00517394581697905
28,31,0.0054315048937583
29,31,0.00456068804717826
