mRNA,microRNA,T_CC,T_P,T_FDR,N_CC,N_P,N_FDR,Targetprofiler,Targetscan,MiRanda,mRNA_FC,miRNA_FC
MYO5C,hsa-mir-23a,-0.48903027,3.09E-05,0.000934124,0.550139157,0.004382751,0.083087002,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.9152522527726141,0.7216925047573296
ARRB1,hsa-mir-1976,0.496766209,2.21E-05,0.000698188,-0.538322037,0.005503291,0.094098066,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.2507247948277108,1.3372446678324954
ST3GAL1,hsa-mir-204,-0.426896649,0.000350821,0.007259853,0.710430567,6.92E-05,0.006755839,targetprofiler-NO,targetscan-Yes,miRanda-NO,6.673525512256868,0.10297163414087614
RAB6B,hsa-mir-888,0.314626296,0.010085106,0.094136036,-0.598331093,0.001580899,0.046750517,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.9987117155208383,105.49376505259602
TFAP2E,hsa-mir-497,0.372809629,0.002050559,0.029491556,-0.556323392,0.003877653,0.077551868,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.365744542971201,0.2788745175324411
CNIH3,hsa-mir-214,0.599241158,1.06E-07,5.78E-06,-0.648458835,0.000455129,0.022285145,targetprofiler-Yes,targetscan-Yes,miRanda-NO,0.44241943178676746,0.24011050977048556
SETD4,hsa-mir-192,0.337235642,0.005623146,0.062389553,-0.64499168,0.000499578,0.023621281,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.3347460124117954,0.06645608178341143
CERKL,hsa-mir-181d,0.378978921,0.001701296,0.025555313,-0.669317566,0.000253374,0.015623344,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.13399802066356503,0.32684455728148476
HOXD10,hsa-mir-10a,-0.366722814,0.002456747,0.033890746,0.701059562,9.48E-05,0.008291272,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.3807263975601654,1.767051532037896
DOCK8,hsa-mir-301a,-0.323439261,0.008072055,0.080675827,0.53425807,0.005940462,0.097877327,targetprofiler-Yes,targetscan-NO,miRanda-Yes,4.156249788421946,0.40326644358417824
HECTD2,hsa-mir-182,-0.368721533,0.002316073,0.032396771,0.582764375,0.002235466,0.057058727,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.4085660454225818,9.028667382790683
DOCK11,hsa-mir-10a,-0.357234069,0.00323416,0.041646643,0.570159697,0.002923214,0.066289954,targetprofiler-Yes,targetscan-NO,miRanda-Yes,0.0984406132519188,1.767051532037896
TRIM52,hsa-mir-539,0.348057277,0.004186839,0.050453363,-0.548803319,0.004498858,0.084271379,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.5815808508893046,0.727360566314222
IER5L,hsa-mir-182,-0.313519355,0.010366483,0.095941539,0.566643084,0.003144477,0.069037107,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.26942940659761844,9.028667382790683
CNTD2,hsa-mir-940,0.474461534,5.70E-05,0.00157908,-0.566042793,0.003183633,0.069552348,targetprofiler-Yes,targetscan-Yes,miRanda-NO,0.05683335434303059,0.8244011191428098
