mRNA,microRNA,T_CC,T_P,T_FDR,N_CC,N_P,N_FDR,Targetprofiler,Targetscan,MiRanda,mRNA_FC,miRNA_FC
FGD6,hsa-mir-27a,0.440435268,0.000965378,0.025310251,-0.832420198,0.001475097,0.063138468,targetprofiler-NO,targetscan-NO,miRanda-Yes,1.3001091034466326,4.428616503660226
TNS4,hsa-mir-338,-0.409833814,0.002306906,0.049032493,0.783394291,0.00434025,0.09028781,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.4843478522920925,1.0985465490727642
CNTLN,hsa-mir-377,0.728289359,6.39E-10,1.10E-07,-0.77309654,0.005263925,0.096290554,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.6520505950238701,5.243638471976617
RPP14,hsa-mir-377,0.457999625,0.000563832,0.016638035,-0.856423347,0.000763031,0.050517539,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.9391370750240651,5.243638471976617
TACC1,hsa-mir-29c,0.491654285,0.000185002,0.006849188,-0.834689849,0.001392116,0.061931914,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.3167736296802705,1.6016699507325232
DDX6,hsa-mir-381,0.417370328,0.001875359,0.041973345,-0.886420073,0.000278044,0.035117996,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.9321324872871174,1.9452237123030762
C10orf137,hsa-mir-381,0.756790723,5.55E-11,1.15E-08,-0.772577151,0.005314048,0.096594387,targetprofiler-NO,targetscan-NO,miRanda-Yes,1.484782797457711,1.9452237123030762
NEURL,hsa-mir-665,0.943562921,0,0,-0.79926682,0.003158513,0.081191038,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.14794340117734592,1.567323076045824
CAPS2,hsa-mir-376b,0.681027084,2.00E-08,2.59E-06,-0.827315918,0.001675215,0.065875213,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.7796979888135819,10.471181519469365
DCAF5,hsa-mir-665,0.56309572,1.14E-05,0.000676042,-0.790851707,0.003750407,0.085927223,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.8991633316553026,1.567323076045824
FAM38A,hsa-mir-152,0.383283152,0.004613211,0.081351176,-0.776919949,0.004905589,0.094043261,targetprofiler-NO,targetscan-NO,miRanda-Yes,1.1596294915449197,1.9523523182192943
EIF5,hsa-mir-323,0.382571761,0.004696106,0.082386388,-0.774536395,0.005126792,0.095440691,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.1093081920206291,45.96965599141725
DCAF10,hsa-mir-31,0.576471507,6.26E-06,0.000406418,-0.815233864,0.002229408,0.072346832,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.0624735734400654,13.52527557993093
CASP9,hsa-mir-223,-0.413510321,0.002086454,0.045479855,0.933839401,2.62E-05,0.013144245,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.7736902928805862,2.324720950656062
PPP1R3E,hsa-mir-665,0.600268114,2.02E-06,0.000154229,-0.813304213,0.002329194,0.073447734,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.9921302334603499,1.567323076045824
CNOT4,hsa-mir-381,0.457653715,0.000569994,0.016779279,-0.770210615,0.005546889,0.097982446,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.9568415006343931,1.9452237123030762
SEC31B,hsa-mir-29c,0.440884688,0.000952523,0.025051007,-0.792909122,0.00359869,0.084755274,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.9248533665762781,1.6016699507325232
RPRD1A,hsa-mir-381,0.492938116,0.000176892,0.00660494,-0.814161189,0.002284476,0.072959471,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.7822342671967879,1.9452237123030762
MYSM1,hsa-mir-141,0.456574814,0.000589607,0.017233766,-0.824915774,0.001776035,0.067131767,targetprofiler-Yes,targetscan-Yes,miRanda-NO,1.434413296978275,11.164863619194632
TPCN2,hsa-mir-766,0.559602913,1.32E-05,0.000768865,-0.806023373,0.002735908,0.077465231,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.0958313247266396,3.6520935354922974
WWOX,hsa-mir-376b,0.485193324,0.000231205,0.008195002,-0.76902751,0.005666065,0.098704085,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.8087884196779458,10.471181519469365
ALDH5A1,hsa-mir-27a,-0.434573552,0.001147914,0.028903675,0.883419616,0.000311258,0.036649303,targetprofiler-Yes,targetscan-NO,miRanda-NO,1.5505436923348506,4.428616503660226
NBEA,hsa-mir-381,0.93098738,0,0,-0.84446667,0.001073984,0.056715916,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.1598536304148674,1.9452237123030762
ANKHD1,hsa-mir-381,0.683339838,1.72E-08,2.25E-06,-0.802452377,0.002953644,0.079490628,targetprofiler-Yes,targetscan-NO,miRanda-Yes,1.0085092562846376,1.9452237123030762
ZNF614,hsa-mir-29c,0.57423829,6.93E-06,0.000443105,-0.780408476,0.004594631,0.092015272,targetprofiler-NO,targetscan-NO,miRanda-Yes,1.4719825458546623,1.6016699507325232
GSTM3,hsa-mir-676,0.406117498,0.002550538,0.052842984,-0.81747227,0.00211769,0.071142187,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.020010626260766,2.1576303059219515
REEP3,hsa-mir-30d,0.460131037,0.000527171,0.015778687,-0.795224409,0.003433448,0.083426576,targetprofiler-Yes,targetscan-NO,miRanda-NO,1.1216010560990608,2.205593175581896
EIF5A2,hsa-mir-27a,0.381716816,0.004797458,0.083649959,-0.80851798,0.00259105,0.076127234,targetprofiler-Yes,targetscan-NO,miRanda-NO,1.076970544629488,4.428616503660226
FAM124A,hsa-mir-381,0.502911595,0.00012411,0.004959766,-0.872922761,0.000451621,0.041930976,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.2883028604697641,1.9452237123030762
TRAPPC6B,hsa-mir-380,0.377234529,0.005360871,0.090555997,-0.797808503,0.003255738,0.081983638,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.9723226282925841,12.315590387681372
