mRNA,microRNA,T_CC,T_P,T_FDR,N_CC,N_P,N_FDR,Targetprofiler,Targetscan,MiRanda,mRNA_FC,miRNA_FC
SMTN,hsa-mir-93,-0.200984511,9.11E-06,0.00016809,0.430669309,0.003520093,0.061699569,targetprofiler-NO,targetscan-NO,miRanda-Yes,1.8844386126652108,2.8644525845689044
MTMR10,hsa-mir-3934,0.150684788,0.000927452,0.00757102,-0.406903393,0.006123194,0.086691292,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.5126957740562567,2.619507771936915
KIAA1549,hsa-mir-93,0.168730935,0.000204227,0.002227888,-0.444318238,0.002515296,0.049855272,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.175135689268914,2.8644525845689044
RTKN2,hsa-mir-203,-0.130356421,0.004226612,0.025025286,0.622270873,6.50E-06,0.000764915,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.7297840642072538,0.8036784341685153
STRBP,hsa-mir-1296,0.156683175,0.000570836,0.005128812,-0.440430851,0.002771842,0.05306737,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.7561522592219935,1.3408735674562775
SHANK2,hsa-mir-625,-0.102402289,0.024859961,0.095483085,0.579100644,3.82E-05,0.002821932,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.2314932915154468,1.0899779542328898
PSMC3IP,hsa-mir-203,-0.242426032,7.54E-08,2.74E-06,0.463372144,0.00153678,0.036356913,targetprofiler-NO,targetscan-Yes,miRanda-Yes,3.58834515903227,0.8036784341685153
CAMKK1,hsa-mir-625,-0.130634042,0.004145409,0.024658847,0.848741609,3.42E-13,6.84E-10,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.0946213593336767,1.0899779542328898
BAZ2A,hsa-mir-99a,-0.107739257,0.018217387,0.075988922,0.429351733,0.003633565,0.062920615,targetprofiler-Yes,targetscan-NO,miRanda-NO,1.1179961828949132,0.3005359401646554
SP4,hsa-mir-766,0.199150608,1.10E-05,0.000197534,-0.49467881,0.000641656,0.020359233,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.044226637086169,2.313785238632891
FXR1,hsa-mir-944,0.114699748,0.011913486,0.05524193,-0.413918464,0.005221204,0.078629302,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.0664099767611759,2.87176017818961
LCORL,hsa-mir-625,0.229700351,3.63E-07,1.06E-05,-0.414189711,0.005188783,0.078304768,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.8782455973024437,1.0899779542328898
TRIM4,hsa-mir-144,0.153977419,0.000712078,0.006128526,-0.443867554,0.002543925,0.050207743,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.9127238199391885,0.5114979959326651
INVS,hsa-mir-494,0.105723977,0.020517238,0.082940449,-0.48912908,0.000753681,0.022684087,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.4174526423664051,0.8633704825736964
WDR91,hsa-mir-3662,-0.12225174,0.007329697,0.038203952,0.496697917,0.000604759,0.019563683,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.5832601563569302,4.929549310185258
DIS3L,hsa-mir-549,0.108261035,0.01765992,0.074236559,-0.456550301,0.001839194,0.040775143,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.7117617183820716,1.6581703598225919
ACOT11,hsa-mir-27b,-0.111167221,0.014819616,0.06508591,0.541899982,0.000145186,0.007309874,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.7848491112014927,0.6387395768402246
CARD14,hsa-mir-15b,-0.165782603,0.000264376,0.002748932,0.426563073,0.00388435,0.06558158,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.6293148075590879,2.0178701517077338
GANAB,hsa-mir-584,0.137970878,0.002450335,0.01636691,-0.498770703,0.000568871,0.018755105,targetprofiler-Yes,targetscan-Yes,miRanda-Yes,1.5934901315180554,2.0276194330060755
GNAS,hsa-mir-15b,0.143183095,0.001660735,0.012041357,-0.533938973,0.000189436,0.008795382,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.6913387599016527,2.0178701517077338
EPS8L2,hsa-mir-15b,-0.191703785,2.35E-05,0.000373021,0.407579009,0.006030806,0.085935809,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.4586226982889746,2.0178701517077338
KCNK6,hsa-mir-17,-0.138127047,0.002422398,0.016223684,0.645581555,2.23E-06,0.000338671,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.7034716186365964,1.656091280496897
C4orf46,hsa-mir-203,-0.33848846,2.49E-14,4.31E-12,0.529716399,0.000217563,0.009691285,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.6969975123179672,0.8036784341685153
CDKAL1,hsa-mir-25,0.252545563,2.03E-08,8.73E-07,-0.524031669,0.000261389,0.010991215,targetprofiler-NO,targetscan-Yes,miRanda-Yes,1.1143009895795708,1.8292872712418002
TSHZ3,hsa-mir-200b,-0.356361324,8.88E-16,2.00E-13,0.490488739,0.000724727,0.022104313,targetprofiler-NO,targetscan-NO,miRanda-Yes,2.0571413733995847,0.9250325357466713
THOC3,hsa-mir-203,-0.135840476,0.002861951,0.01848201,0.725373511,2.55E-08,1.01E-05,targetprofiler-NO,targetscan-Yes,miRanda-Yes,1.2658425601074188,0.8036784341685153
VDR,hsa-mir-3934,-0.110117547,0.015795479,0.068281606,0.457667607,0.001786318,0.040004815,targetprofiler-Yes,targetscan-Yes,miRanda-NO,1.3121584078464292,2.619507771936915
VIPR1,hsa-mir-143,-0.106558015,0.019536477,0.080006987,0.429675549,0.003605384,0.062618959,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.8016658048544927,0.43879823363006804
NLN,hsa-mir-183,0.143095565,0.001671797,0.012105126,-0.486922778,0.00080287,0.023636891,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.256600275942403,3.3582592596064034
