mRNA,microRNA,T_CC,T_P,T_FDR,N_CC,N_P,N_FDR,Targetprofiler,Targetscan,MiRanda,mRNA_FC,miRNA_FC
EIF5A2,hsa-mir-766,0.262559751,0.000465177,0.021226366,-0.759701664,0.002586651,0.070869723,targetprofiler-Yes,targetscan-Yes,miRanda-NO,0.5007607522902163,6.849591739593093
RABGAP1,hsa-mir-424,0.325968251,1.14E-05,0.001128474,-0.747542771,0.003307845,0.080746405,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.650142640123597,0.3071910605747866
STK38,hsa-mir-590,0.356987069,1.33E-06,0.000184831,-0.750333774,0.003129991,0.07832891,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.562438879807631,3.236103055737781
SCAMP2,hsa-mir-106b,-0.23033448,0.002230872,0.064292555,0.847160998,0.000257101,0.0184913,targetprofiler-NO,targetscan-NO,miRanda-Yes,1.250648390906196,6.074124141264395
PCDHGB7,hsa-mir-203,0.240368968,0.001399271,0.046713168,-0.85864707,0.000171222,0.014357848,targetprofiler-Yes,targetscan-Yes,miRanda-NO,0.15354838909790605,17.483124725142986
SNTB2,hsa-mir-1275,0.299107202,6.09E-05,0.004433711,-0.762139306,0.00245811,0.068809946,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.4207396056711309,1.535365590898346
CELSR1,hsa-mir-182,-0.228354651,0.002440373,0.068355655,0.877576127,8.07E-05,0.008809524,targetprofiler-NO,targetscan-Yes,miRanda-NO,2.2782657314719246,48.747953657680426
MRE11A,hsa-mir-106b,0.231394972,0.0021255,0.062245711,-0.782907147,0.001553042,0.053479877,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.914836153757852,6.074124141264395
PHLDB2,hsa-mir-592,0.362723021,8.71E-07,0.000128688,-0.783907485,0.001517235,0.052759693,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.19673101997261203,22.9775459082723
LRRFIP1,hsa-mir-192,0.216832321,0.004054771,0.095585121,-0.776476947,0.001799284,0.057990786,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.5812204567004424,4.805360419397749
NAP1L3,hsa-mir-18a,0.50872126,7.67E-13,4.17E-10,-0.800997078,0.000999104,0.041569893,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.1453918489477013,16.387604748424305
DUSP3,hsa-mir-561,0.295894565,7.37E-05,0.005162619,-0.792195414,0.001244787,0.04710353,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.5003599349897732,2.3531554648475477
CARD8,hsa-mir-424,0.263030309,0.000453957,0.020862635,-0.779179128,0.001692347,0.056033067,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.5804254475322431,0.3071910605747866
TCF4,hsa-mir-424,0.389564487,1.08E-07,2.08E-05,-0.779703556,0.001672181,0.055679836,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.2537436805697381,0.3071910605747866
C6orf145,hsa-mir-503,0.256863305,0.000622938,0.026292671,-0.803397033,0.000939239,0.040092374,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.5525897996692549,0.786128355316889
RSPO4,hsa-mir-1266,-0.252409407,0.00077919,0.03091262,0.807653771,0.000840028,0.037563376,targetprofiler-NO,targetscan-Yes,miRanda-NO,7.843878465132947,8.331445046349769
ITSN1,hsa-mir-551a,0.244159514,0.001167307,0.041193364,-0.79142026,0.001268505,0.047628703,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.5506686130933983,4.170806786041075
ITSN1,hsa-mir-130a,0.271817487,0.000285373,0.01475129,-0.774536115,0.001879296,0.059373802,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.5506686130933983,1.8678639349727875
TNFSF13,hsa-mir-106b,-0.233796137,0.001903437,0.057687558,0.776244875,0.001808709,0.058171622,targetprofiler-NO,targetscan-NO,miRanda-Yes,1.3164534327700235,6.074124141264395
KIAA0947,hsa-mir-106b,0.274173854,0.000251294,0.013384584,-0.822632951,0.00055458,0.029422024,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.7453079544955256,6.074124141264395
SCAMP4,hsa-mir-106b,-0.29969891,5.88E-05,0.004312744,0.760664881,0.002535249,0.07006498,targetprofiler-NO,targetscan-NO,miRanda-Yes,1.2567566106337855,6.074124141264395
BVES,hsa-mir-130a,0.551103899,3.33E-15,2.53E-12,-0.733028026,0.004362681,0.093263449,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.405319107548516,1.8678639349727875
HOXA11,hsa-mir-484,0.232115792,0.002056483,0.060837492,-0.831544956,0.000425322,0.025240641,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.3440437175683745,7.299732938820244
MAN1A1,hsa-mir-203,0.230191057,0.002245481,0.064590303,-0.772601947,0.00196177,0.060679048,targetprofiler-Yes,targetscan-Yes,miRanda-NO,0.41557510433810335,17.483124725142986
FYCO1,hsa-mir-203,0.364230528,7.79E-07,0.000116873,-0.820614923,0.000587756,0.030428996,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.2519772701040705,17.483124725142986
STK4,hsa-mir-222,0.358274433,1.21E-06,0.000170756,-0.772960478,0.001946273,0.06047298,targetprofiler-Yes,targetscan-NO,miRanda-NO,1.159852627553561,1.4023572839989897
DEGS1,hsa-mir-561,0.248888381,0.000927417,0.034995382,-0.774039249,0.001900219,0.059670555,targetprofiler-Yes,targetscan-Yes,miRanda-NO,1.1793863077886078,2.3531554648475477
UBXN6,hsa-mir-760,-0.229302094,0.002337986,0.066357757,0.849941507,0.000233717,0.017491598,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.7732165789940174,7.900018950945542
TMEM97,hsa-mir-664,-0.233650401,0.001916288,0.057943438,0.779946779,0.001662893,0.055541295,targetprofiler-NO,targetscan-Yes,miRanda-NO,2.73276513437502,1.338592981555546
PMM1,hsa-mir-1301,-0.314997165,2.30E-05,0.002019878,0.898011976,3.08E-05,0.004656737,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.9314235743260312,9.58274904274554
FBXL7,hsa-mir-488,0.341797265,3.91E-06,0.000463611,-0.754363827,0.002886369,0.074950411,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.13720043372883106,2.130414368750465
KALRN,hsa-mir-181c,0.242385912,0.001271065,0.043704773,-0.786109552,0.001440691,0.051256283,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.4434046084307111,3.721609893771577
MARCKSL1,hsa-mir-193b,-0.218092368,0.0038404,0.092305753,0.932462838,3.41E-06,0.001010929,targetprofiler-Yes,targetscan-Yes,miRanda-Yes,2.688717230476955,3.4740846368593177
GM2A,hsa-mir-3652,0.274512521,0.000246719,0.013207213,-0.815664948,0.000675797,0.033059305,targetprofiler-Yes,targetscan-NO,miRanda-NO,1.3084157836511146,12.07347467486335
SNRK,hsa-mir-2110,0.267453287,0.000360076,0.017559237,-0.804005167,0.000924527,0.039703597,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.38677681148714266,2.6640278527533168
IGF2BP2,hsa-mir-375,-0.254621039,0.000697578,0.028527086,0.869221315,0.000114041,0.011087595,targetprofiler-NO,targetscan-Yes,miRanda-NO,2.4890218868686427,19.817239702832538
ITPR3,hsa-mir-484,-0.231238591,0.002140748,0.062524155,0.757973243,0.002680916,0.072158402,targetprofiler-Yes,targetscan-NO,miRanda-NO,2.7514855881623865,7.299732938820244
KLHDC8B,hsa-let-7b,-0.244642502,0.001140427,0.040504386,0.817045296,0.000650264,0.032303966,targetprofiler-Yes,targetscan-NO,miRanda-Yes,0.46552704940557504,1.0139245053538404
REPIN1,hsa-mir-130a,-0.216501592,0.004112793,0.096498901,0.799005077,0.001051037,0.042754627,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.7731955520927616,1.8678639349727875
KLHL29,hsa-mir-592,0.285162165,0.000136774,0.008407404,-0.823702642,0.000537606,0.028905469,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.6929900131701356,22.9775459082723
CNDP2,hsa-mir-183,-0.230835217,0.00218054,0.063323854,0.898912675,2.94E-05,0.004511531,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.621449433028346,97.4667603609174
PDE7B,hsa-mir-145,0.364809047,7.46E-07,0.00011257,-0.736827837,0.004064496,0.090018795,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.16811394132359478,0.1766932822791044
SPPL2B,hsa-mir-551a,-0.224170709,0.00294291,0.077541206,0.854158379,0.000201512,0.015940195,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.768425850154061,4.170806786041075
