mRNA,microRNA,T_CC,T_P,T_FDR,N_CC,N_P,N_FDR,Targetprofiler,Targetscan,MiRanda,mRNA_FC,miRNA_FC
C18orf54,hsa-mir-561,0.144426732,0.001048374,0.00551025,-0.383077127,0.002747544,0.097245191,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.8800798711723151,0.4988453855479244
SPIN1,hsa-mir-629,0.176729923,5.80E-05,0.00046238,-0.436658005,0.00054506,0.033429914,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.9225815844650291,1.0467439990359813
SMAD2,hsa-mir-452,-0.137842156,0.00177007,0.008557669,0.392514366,0.002105898,0.082481848,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.855144635548598,1.0149222972170364
ZDHHC9,hsa-mir-589,0.179312427,4.49E-05,0.000370069,-0.462461011,0.000226341,0.017915391,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.152129604066202,0.8808173568659274
CYTH1,hsa-mir-659,-0.110718404,0.012180947,0.041840888,0.527769318,1.74E-05,0.00255655,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.8066684019738184,1.2706080067329484
SEL1L3,hsa-mir-627,-0.13418032,0.002346209,0.010830906,0.389138897,0.002318127,0.087619766,targetprofiler-NO,targetscan-Yes,miRanda-NO,2.480531290266431,0.7865851661446307
CTNND1,hsa-mir-224,-0.109086158,0.01352348,0.04552214,0.38341722,0.002721699,0.096657517,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.8209157564713073,1.5546915577061244
KCNK10,hsa-mir-21,-0.151286214,0.00059335,0.003401714,0.736206677,3.05E-11,2.51E-08,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.3517294955014145,2.9393595281753644
C1orf127,hsa-mir-605,0.147049241,0.000845753,0.00459743,-0.479771021,0.00012057,0.011261489,targetprofiler-NO,targetscan-Yes,miRanda-Yes,0.9867408320635994,0.5711648722048894
TBC1D22A,hsa-mir-1307,-0.158373048,0.000321239,0.002017475,0.49757505,6.08E-05,0.006729518,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.9191270223918062,1.4137581893936966
DHX8,hsa-mir-605,-0.160039532,0.000277023,0.001777494,0.430808516,0.000658961,0.038127626,targetprofiler-NO,targetscan-Yes,miRanda-Yes,1.0671932203417256,0.5711648722048894
QARS,hsa-mir-222,-0.112552921,0.0108138,0.037999037,0.39965128,0.001713295,0.072516136,targetprofiler-NO,targetscan-NO,miRanda-Yes,1.0787759986370102,6.474089401831509
MYO1D,hsa-mir-33a,0.117762981,0.007643035,0.028679164,-0.408311357,0.00132567,0.061180675,targetprofiler-Yes,targetscan-NO,miRanda-NO,1.4547347845854115,0.9295766181442039
PDGFD,hsa-mir-96,0.225743494,2.44E-07,3.71E-06,-0.400986955,0.001647568,0.070577796,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.1360903499049133,2.043927390144804
NOTCH2NL,hsa-mir-548j,-0.102994165,0.019753539,0.061648943,0.408975172,0.001299493,0.060284807,targetprofiler-Yes,targetscan-NO,miRanda-NO,1.0670639115204632,0.48774315745506325
