mRNA,microRNA,T_CC,T_P,T_FDR,N_CC,N_P,N_FDR,Targetprofiler,Targetscan,MiRanda,mRNA_FC,miRNA_FC
XYLT1,hsa-mir-1293,-0.171525673,0.001452146,0.019278023,0.569057238,0.000192895,0.051873003,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.0916207914450093,8.65669528876262
STBD1,hsa-mir-27b,-0.178619534,0.000907034,0.013588823,0.537810246,0.000497115,0.089022734,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.41338724108598274,1.144411329018826
CMKLR1,hsa-mir-93,-0.318061852,1.77E-09,2.56E-07,0.542090424,0.000439035,0.083283556,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.3347579694849172,2.8702020977423346
DOCK9,hsa-mir-200a,-0.197763176,0.000232957,0.004834006,0.543147444,0.00042566,0.081875783,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.3990496200850957,3.875291281463004
TTLL7,hsa-mir-154,0.173478825,0.001277914,0.017542755,-0.551339224,0.000333742,0.071047155,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.49925739148427406,2.579640682490138
TNFAIP8L1,hsa-mir-1976,0.203455345,0.000151577,0.00346556,-0.560428109,0.000252902,0.061056326,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.6842525862491551,0.48956229921962463
GAS7,hsa-mir-1248,-0.196587242,0.00025421,0.005169379,0.602270011,6.32E-05,0.026884482,targetprofiler-Yes,targetscan-Yes,miRanda-NO,0.3353536627827572,13.527790011336005
SLCO2B1,hsa-mir-140,0.257223808,1.43E-06,8.11E-05,-0.585961415,0.000110967,0.037138708,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.19468730347218915,0.38062564719046676
SLC39A8,hsa-mir-17,-0.150778544,0.005203387,0.048737328,0.5742874,0.000163089,0.046757051,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.06778950119121434,1.8722958630192361
TNFAIP8L1,hsa-mir-140,0.142311138,0.008399242,0.068296929,-0.556551508,0.000284941,0.065542489,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.6842525862491551,0.38062564719046676
PCDH12,hsa-mir-193b,-0.143531222,0.007850879,0.065186534,0.574557131,0.000161671,0.046523688,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.14018971983899473,4.694379270185694
FYB,hsa-mir-196b,-0.156707368,0.003667997,0.037987955,0.610581691,4.68E-05,0.022067238,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.8064005018421602,46.74399117574376
SLC12A8,hsa-mir-376c,-0.149000098,0.005765419,0.052419256,0.587795491,0.000104312,0.035626542,targetprofiler-NO,targetscan-Yes,miRanda-Yes,3.1725006396680815,1.936910405276304
SGMS2,hsa-mir-877,-0.164991142,0.002205595,0.02626468,0.532361239,0.000580925,0.096881814,targetprofiler-Yes,targetscan-Yes,miRanda-NO,0.13615073004259104,7.148505953754512
CTSA,hsa-mir-130b,-0.153168069,0.004525903,0.044142921,0.662248865,5.93E-06,0.005721946,targetprofiler-NO,targetscan-NO,miRanda-Yes,1.012439310174641,7.209204190731397
COL4A1,hsa-mir-205,-0.253743052,2.00E-06,0.000107299,0.66637562,4.95E-06,0.005054779,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.753129598393457,72.43425478873414
SHANK2,hsa-mir-539,0.38900452,8.42E-14,3.13E-11,-0.537955074,0.000495043,0.08891575,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.4281695019528614,4.015417772182233
DCHS1,hsa-mir-708,-0.157963146,0.003400932,0.035977357,0.597489498,7.48E-05,0.029357079,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.38174558516035895,9.770166528938537
COL4A4,hsa-mir-203,-0.223401381,3.06E-05,0.000979564,0.544719099,0.000406445,0.079506442,targetprofiler-NO,targetscan-Yes,miRanda-Yes,0.1584457221593909,5.046308123559928
MFHAS1,hsa-mir-223,-0.166164435,0.002048369,0.024866018,0.533375866,0.000564426,0.095244905,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.114998434717177,0.5403401358795024
NAIP,hsa-mir-93,-0.163099343,0.002482429,0.028601894,0.78255433,6.48E-09,5.64E-05,targetprofiler-Yes,targetscan-Yes,miRanda-NO,0.45160806972257966,2.8702020977423346
KIF3C,hsa-mir-1293,-0.189844832,0.000415328,0.007532963,0.531485029,0.000595517,0.097904758,targetprofiler-Yes,targetscan-Yes,miRanda-NO,3.369171563694668,8.65669528876262
YY1AP1,hsa-mir-223,-0.17048683,0.001553454,0.020265542,0.555091455,0.00029792,0.066987367,targetprofiler-Yes,targetscan-NO,miRanda-NO,1.2903105227060956,0.5403401358795024
COL5A1,hsa-mir-3653,-0.229573899,1.81E-05,0.000643685,0.546050301,0.000390781,0.077742326,targetprofiler-NO,targetscan-Yes,miRanda-NO,2.63671202319465,2.953261801490435
