from,to
10,148
11,132
12,134
19,54
20,29
22,31
24,81
32,49
34,138
37,38
41,103
42,99
45,119
48,144
50,36
51,52
53,70
64,40
67,150
68,133
76,23
80,95
88,3
90,21
93,149
97,109
98,143
100,101
104,139
105,102
107,47
110,39
112,57
113,7
114,61
116,44
128,96
129,106
137,27
145,85
146,59
152,121
153,77
154,147
156,141
157,14
158,6
160,65
161,159
