ontology,measure,in-cluster_similarity_score,inter-cluster_similarity_score
BP,Jiang,0.135,0.106
BP,Lin,0.137,0.126
BP,Rel,0.109,0.099
BP,Resnik,0.074,0.072
BP,Wang,0.143,0.132
CC,Jiang,0.497,0.444
CC,Lin,0.236,0.217
CC,Rel,0.165,0.152
CC,Resnik,0.069,0.069
CC,Wang,0.351,0.34
MF,Jiang,0.316,0.242
MF,Lin,0.174,0.132
MF,Rel,0.116,0.09
MF,Resnik,0.044,0.044
MF,Wang,0.31,0.259
