ontology,measure,in-cluster_similarity_score,inter-cluster_similarity_score
BP,Jiang,0.135,0.115
BP,Lin,0.137,0.131
BP,Rel,0.109,0.104
BP,Resnik,0.074,0.074
BP,Wang,0.143,0.136
CC,Jiang,0.497,0.439
CC,Lin,0.237,0.209
CC,Rel,0.166,0.147
CC,Resnik,0.069,0.067
CC,Wang,0.352,0.325
MF,Jiang,0.316,0.242
MF,Lin,0.175,0.132
MF,Rel,0.116,0.09
MF,Resnik,0.043,0.043
MF,Wang,0.31,0.262
