ontology,measure,in-cluster_similarity_score,inter-cluster_similarity_score
BP,Jiang,0.157,0.132
BP,Lin,0.151,0.146
BP,Rel,0.12,0.114
BP,Resnik,0.081,0.08
BP,Wang,0.158,0.146
CC,Jiang,0.524,0.444
CC,Lin,0.252,0.219
CC,Rel,0.173,0.149
CC,Resnik,0.069,0.068
CC,Wang,0.376,0.35
MF,Jiang,0.299,0.27
MF,Lin,0.161,0.144
MF,Rel,0.114,0.1
MF,Resnik,0.051,0.05
MF,Wang,0.293,0.275
