ontology,measure,in-cluster_similarity_score,inter-cluster_similarity_score
BP,Jiang,0.153,0.135
BP,Lin,0.155,0.146
BP,Rel,0.129,0.117
BP,Resnik,0.084,0.079
BP,Wang,0.16,0.135
CC,Jiang,0.5,0.482
CC,Lin,0.249,0.234
CC,Rel,0.18,0.164
CC,Resnik,0.072,0.07
CC,Wang,0.355,0.356
MF,Jiang,0.314,0.306
MF,Lin,0.187,0.17
MF,Rel,0.132,0.112
MF,Resnik,0.054,0.047
MF,Wang,0.314,0.311
