ontology,measure,in-cluster_similarity_score,inter-cluster_similarity_score
BP,Jiang,0.135,0.149
BP,Lin,0.139,0.16
BP,Rel,0.11,0.129
BP,Resnik,0.075,0.087
BP,Wang,0.143,0.156
CC,Jiang,0.497,0.495
CC,Lin,0.241,0.252
CC,Rel,0.168,0.172
CC,Resnik,0.07,0.072
CC,Wang,0.357,0.384
MF,Jiang,0.326,0.312
MF,Lin,0.181,0.167
MF,Rel,0.12,0.114
MF,Resnik,0.044,0.046
MF,Wang,0.315,0.31
