ontology,measure,in-cluster_similarity_score,inter-cluster_similarity_score
BP,Jiang,0.14,0.11
BP,Lin,0.144,0.133
BP,Rel,0.116,0.106
BP,Resnik,0.078,0.076
BP,Wang,0.148,0.136
CC,Jiang,0.5,0.442
CC,Lin,0.245,0.216
CC,Rel,0.173,0.152
CC,Resnik,0.071,0.069
CC,Wang,0.36,0.338
MF,Jiang,0.33,0.268
MF,Lin,0.186,0.142
MF,Rel,0.125,0.096
MF,Resnik,0.046,0.043
MF,Wang,0.319,0.276
