ontology,measure,in-cluster_similarity_score,inter-cluster_similarity_score
BP,Jiang,0.146,0.116
BP,Lin,0.152,0.124
BP,Rel,0.124,0.098
BP,Resnik,0.082,0.069
BP,Wang,0.156,0.137
CC,Jiang,0.5,0.471
CC,Lin,0.251,0.211
CC,Rel,0.179,0.147
CC,Resnik,0.073,0.062
CC,Wang,0.364,0.323
MF,Jiang,0.325,0.316
MF,Lin,0.188,0.179
MF,Rel,0.128,0.119
MF,Resnik,0.05,0.045
MF,Wang,0.32,0.312
