ontology,measure,in-cluster_similarity_score,inter-cluster_similarity_score
BP,Jiang,0.169,0.124
BP,Lin,0.169,0.132
BP,Rel,0.144,0.105
BP,Resnik,0.09,0.072
BP,Wang,0.173,0.139
CC,Jiang,0.491,0.465
CC,Lin,0.255,0.211
CC,Rel,0.186,0.146
CC,Resnik,0.074,0.063
CC,Wang,0.363,0.328
MF,Jiang,0.332,0.27
MF,Lin,0.204,0.143
MF,Rel,0.148,0.097
MF,Resnik,0.061,0.042
MF,Wang,0.333,0.282
