ontology,measure,in-cluster_similarity_score,inter-cluster_similarity_score
BP,Jiang,0.151,0.123
BP,Lin,0.15,0.135
BP,Rel,0.124,0.107
BP,Resnik,0.081,0.074
BP,Wang,0.155,0.141
CC,Jiang,0.483,0.465
CC,Lin,0.242,0.21
CC,Rel,0.173,0.146
CC,Resnik,0.07,0.062
CC,Wang,0.351,0.322
MF,Jiang,0.319,0.27
MF,Lin,0.189,0.144
MF,Rel,0.132,0.098
MF,Resnik,0.054,0.041
MF,Wang,0.319,0.279
