ontology,measure,in-cluster_similarity_score,inter-cluster_similarity_score
BP,Jiang,0.152,0.123
BP,Lin,0.151,0.134
BP,Rel,0.125,0.107
BP,Resnik,0.081,0.073
BP,Wang,0.156,0.14
CC,Jiang,0.484,0.466
CC,Lin,0.242,0.21
CC,Rel,0.174,0.146
CC,Resnik,0.07,0.062
CC,Wang,0.351,0.323
MF,Jiang,0.319,0.27
MF,Lin,0.189,0.144
MF,Rel,0.133,0.098
MF,Resnik,0.054,0.041
MF,Wang,0.319,0.28
