from,to
1,2
3,78
5,110
8,29
10,35
12,87
16,4
17,79
18,53
19,45
20,14
24,99
25,39
27,115
28,54
32,65
34,38
37,47
40,70
41,15
42,69
43,131
48,107
49,21
52,23
56,124
57,9
58,59
60,111
63,95
64,143
66,151
67,148
68,86
72,51
80,50
81,11
82,101
83,30
84,127
85,7
88,26
89,108
91,75
93,126
94,103
96,114
97,76
98,90
100,141
104,146
105,106
109,61
112,73
113,140
116,92
117,62
120,121
122,125
123,102
128,13
129,36
130,139
132,22
133,119
135,31
136,77
137,44
138,55
144,142
145,74
147,134
149,118
150,71
152,46
153,6
