IW,E2MROW,R2MEOW,condition_01,condition_02
482.457597220291,131.115512846523,131.812203035857,TRUE,TRUE
420.67033307662,328.933498657408,283.515869426441,TRUE,TRUE
1285.7713984984,396.022539234193,461.153595789589,TRUE,TRUE
475.857116966416,203.223260587554,237.899032300172,TRUE,TRUE
255.018444605347,78.5287299895961,120.153181437524,TRUE,TRUE
174.657158859838,159.522138615515,136.312467943089,TRUE,TRUE
1092.09327293803,402.305736473976,314.784165460616,TRUE,TRUE
39.9808812356284,42.6715545062208,37.2211070578622,FALSE,TRUE
69.5392502568003,50.3764331135507,70.195293159721,TRUE,TRUE
0.205810341134981,0,0,TRUE,TRUE
18.9671957257637,22.23840491998,20.0669945142524,FALSE,FALSE
0.446819997932859,0,0,TRUE,TRUE
6.3675232496956,3.65824043913075,6.08904914282566,TRUE,TRUE
0.448986683536061,0,0,TRUE,TRUE
0.913456417262465,1.03288960990892,0,FALSE,TRUE
1.88612435622134,0.498624979021524,0.468298913213964,TRUE,TRUE
0.764892794690805,0.541132450517645,0.813259907377057,TRUE,TRUE
0.230556178903574,0,0,TRUE,TRUE
0.754285580708985,0.268515089178615,0.236885396398012,TRUE,TRUE
0.496762456578517,0,0.21580802733758,TRUE,TRUE
0.261934437004851,0,0,TRUE,TRUE
0.293231156692028,0,0,TRUE,TRUE
