IW,E2MROW,R2MEOW,condition_01,condition_02
50.1951201300433,20.5724720814152,46.5194171769874,TRUE,TRUE
51.9343843607799,27.7791044097748,35.8693473359864,TRUE,TRUE
43.9915606988143,9.06557096053798,5.97161887848029,TRUE,TRUE
144.532854558688,265.771762840424,89.9876621119541,FALSE,FALSE
49.0149896702953,19.0627647077896,25.7724101105025,TRUE,TRUE
100.148201409582,101.898504549004,91.9726153412062,FALSE,TRUE
30.537265225053,24.2159688791937,45.3355581904048,TRUE,FALSE
23.7970036345897,5.2916857559454,18.2182705246352,TRUE,TRUE
27.937934606858,6.83634687876682,13.0088946064317,TRUE,TRUE
72.1418688794261,50.908623684019,44.6915762693273,TRUE,TRUE
59.0708426762691,58.5449267884048,70.2690325339042,TRUE,FALSE
73.8227383645721,45.0813815989302,40.6384034391904,TRUE,TRUE
32.3870219794662,28.5851481245696,51.7277176905825,TRUE,FALSE
58.3301926631089,51.3519727183998,66.18740177822,TRUE,FALSE
124.597491264441,120.067180306901,104.63209785311,TRUE,TRUE
62.0224016804327,86.9350931181066,68.7831194606326,FALSE,FALSE
34.9820733570164,37.8793266549288,47.0630072806864,FALSE,FALSE
29.2586807802471,5.94559281400845,33.8934387015977,TRUE,TRUE
26.2816383087073,14.3327705242389,29.9564211257858,TRUE,TRUE
21.9507297993748,20.6400455352308,37.6280059619494,TRUE,FALSE
91.4083871849711,95.6032623448021,58.396287176612,FALSE,TRUE
39.5682928555444,32.9062280266427,46.2698109537615,TRUE,FALSE
27.4388156904078,18.7084668391629,44.9861701110369,TRUE,FALSE
43.8861308811835,28.3615715170946,42.1301062752237,TRUE,TRUE
35.6834575615807,43.4195571137034,39.7144234173726,FALSE,FALSE
54.0617046557344,19.5569680028758,39.6994824692892,TRUE,TRUE
