ontology,measure,in-cluster_similarity_score,inter-cluster_similarity_score
BP,Jiang,0.145,0.117
BP,Lin,0.152,0.124
BP,Rel,0.124,0.097
BP,Resnik,0.083,0.069
BP,Wang,0.156,0.134
CC,Jiang,0.509,0.447
CC,Lin,0.249,0.211
CC,Rel,0.177,0.148
CC,Resnik,0.073,0.067
CC,Wang,0.359,0.325
MF,Jiang,0.317,0.248
MF,Lin,0.186,0.137
MF,Rel,0.129,0.092
MF,Resnik,0.052,0.042
MF,Wang,0.317,0.277
