ontology,measure,in-cluster_similarity_score,inter-cluster_similarity_score
BP,Jiang,0.146,0.108
BP,Lin,0.152,0.13
BP,Rel,0.125,0.103
BP,Resnik,0.083,0.074
BP,Wang,0.157,0.133
CC,Jiang,0.512,0.453
CC,Lin,0.251,0.217
CC,Rel,0.179,0.153
CC,Resnik,0.073,0.069
CC,Wang,0.361,0.334
MF,Jiang,0.319,0.249
MF,Lin,0.188,0.137
MF,Rel,0.131,0.093
MF,Resnik,0.052,0.043
MF,Wang,0.319,0.271
