ontology,measure,in-cluster_similarity_score,inter-cluster_similarity_score
BP,Jiang,0.148,0.118
BP,Lin,0.154,0.127
BP,Rel,0.127,0.101
BP,Resnik,0.085,0.071
BP,Wang,0.159,0.135
CC,Jiang,0.506,0.47
CC,Lin,0.251,0.222
CC,Rel,0.18,0.156
CC,Resnik,0.074,0.068
CC,Wang,0.359,0.336
MF,Jiang,0.319,0.255
MF,Lin,0.19,0.143
MF,Rel,0.133,0.096
MF,Resnik,0.054,0.041
MF,Wang,0.319,0.279
