from,to,weight
1,2,0.00339230461311054
1,3,0.00488250603667954
1,4,0.0144072210490849
1,5,0.00136294300906736
1,6,0.0102939281720322
1,7,0.0112807967864494
1,8,0.00769607167468619
1,9,0.000772157412524851
1,10,0.0192506302680412
1,12,0.00535863038902743
1,13,0.00295851125546448
1,14,0.0154704721286286
1,15,0.00851327661933174
1,16,0.00361353382340862
1,17,0.00311747191182171
1,18,0.00773925351205937
1,19,0.00638403768228106
1,20,0.00146969887688442
1,21,0.00587096530163043
1,22,0.0224332563545082
1,23,0.00412781089048338
1,24,0.00989173926217228
1,25,0.0056470368049505
1,26,0.0090961770109127
1,27,0.00195937507758621
1,28,0.000479207378666667
1,29,0.00480389913175676
1,30,0.0109656536281818
1,31,0.00397551757579787
1,32,0.00429766214181818
1,33,0.001589286539801
1,34,0.00673241701656315
1,35,0.013037336408575
1,36,0.0169826304088864
1,37,0.0107152385137255
1,38,0.00343430546741573
2,3,0.00492615995019157
2,4,0.00921653927180233
2,7,0.00862813869631902
2,8,0.00937309178959276
2,9,0.00245781124390244
2,10,0.0101795599315992
2,11,0.016337573045
2,12,0.0114160145625
2,13,0.000948452062105263
2,14,0.00135998824663073
2,15,0.00132937325617284
2,16,0.00959041980652174
2,17,0.00185687800579151
2,18,0.00155413011702128
2,19,0.0054391660042735
2,20,0.0025925504893617
2,21,0.00530725048983051
2,22,0.000448690208421053
2,23,0.00154985336296296
2,25,0.00170700174596774
2,26,0.00409067515789474
2,28,0.00158955012288136
2,29,0.00116919460427807
2,30,0.0251953809334471
2,32,0.00230390964846416
2,33,0.00650329682068965
2,34,0.0126378317787611
2,35,0.00791048676958955
2,36,0.0200333218892405
2,37,0.00992449473913043
3,4,0.0123785862843552
3,5,0.0028885876744186
3,6,0.00160407942682927
3,7,0.0287195558901099
3,8,0.0213591806357143
3,9,0.00736141863866667
3,10,0.0125829663765432
3,11,0.00104256115502183
3,12,0.00895388771978022
3,13,0.0109794930877483
3,14,0.0014490873989667
3,15,0.000941970912371134
3,16,0.00906493630083565
3,17,0.00942302147680412
3,18,0.00315224419951338
3,19,0.0133722828057851
3,20,0.000804836240740741
3,21,0.0160013875294811
3,22,0.000366105385761589
3,23,0.0141622351610487
3,24,0.00349813524876847
3,25,0.00311296024933687
3,26,0.00448020126462766
3,27,0.00307680266366907
3,28,0.000847958133603239
3,29,0.00287637911075949
3,30,0.0172947337760663
3,31,0.00403058037096774
3,32,0.00473873157345972
3,33,0.00333613062408759
3,34,0.00657881114788732
3,35,0.020043288824812
3,36,0.0525096343226018
3,37,0.0100122647015707
3,38,0.00140659615457413
4,5,0.000665320604105572
4,6,0.00673735016371681
4,7,0.0163407897314126
4,8,0.00376246376212471
4,9,0.00401030638864629
4,10,0.0209754464623803
4,11,0.000608790942307692
4,12,0.00572047701685393
4,13,0.00243837601382824
4,14,0.0265735133354298
4,15,0.00281433287433155
4,16,0.00318713612330317
