ontology,measure,in-cluster_similarity_score,inter-cluster_similarity_score
BP,Jiang,0.172,0.124
BP,Lin,0.169,0.122
BP,Rel,0.149,0.096
BP,Resnik,0.091,0.068
BP,Wang,0.18,0.146
CC,Jiang,0.462,0.458
CC,Lin,0.248,0.212
CC,Rel,0.194,0.149
CC,Resnik,0.075,0.064
CC,Wang,0.318,0.335
MF,Jiang,0.308,0.249
MF,Lin,0.216,0.146
MF,Rel,0.162,0.1
MF,Resnik,0.07,0.045
MF,Wang,0.336,0.274
