ontology,measure,in-cluster_similarity_score,inter-cluster_similarity_score
BP,Jiang,0.171,0.124
BP,Lin,0.169,0.124
BP,Rel,0.149,0.097
BP,Resnik,0.091,0.068
BP,Wang,0.179,0.146
CC,Jiang,0.461,0.459
CC,Lin,0.247,0.214
CC,Rel,0.193,0.15
CC,Resnik,0.074,0.064
CC,Wang,0.316,0.337
MF,Jiang,0.308,0.243
MF,Lin,0.215,0.142
MF,Rel,0.162,0.098
MF,Resnik,0.071,0.045
MF,Wang,0.335,0.269
