ontology,measure,in-cluster_similarity_score,inter-cluster_similarity_score
BP,Jiang,0.17,0.124
BP,Lin,0.167,0.122
BP,Rel,0.148,0.096
BP,Resnik,0.09,0.068
BP,Wang,0.178,0.146
CC,Jiang,0.463,0.459
CC,Lin,0.251,0.213
CC,Rel,0.197,0.149
CC,Resnik,0.075,0.064
CC,Wang,0.32,0.335
MF,Jiang,0.311,0.25
MF,Lin,0.22,0.147
MF,Rel,0.165,0.101
MF,Resnik,0.072,0.045
MF,Wang,0.339,0.276
