ontology,measure,in-cluster_similarity_score,inter-cluster_similarity_score
BP,Jiang,0.128,0.105
BP,Lin,0.119,0.123
BP,Rel,0.099,0.101
BP,Resnik,0.066,0.072
BP,Wang,0.145,0.135
CC,Jiang,0.524,0.445
CC,Lin,0.236,0.192
CC,Rel,0.176,0.141
CC,Resnik,0.067,0.061
CC,Wang,0.316,0.287
MF,Jiang,0.264,0.218
MF,Lin,0.156,0.12
MF,Rel,0.109,0.084
MF,Resnik,0.049,0.043
MF,Wang,0.304,0.253
