IW,E2MROW,R2MEOW,condition_01,condition_02
84.8596371126246,45.9442278079598,20.2345319883721,TRUE,TRUE
46.5119992513171,11.4935219516351,25.6835573102295,TRUE,TRUE
30.7504503716523,13.2196894676959,21.3727559057115,TRUE,TRUE
168.952361496186,71.8446460744312,46.3107796040575,TRUE,TRUE
52.1728844351783,9.72545544463501,29.9667974510312,TRUE,TRUE
53.4399284881441,28.5581944881161,38.6011621225985,TRUE,TRUE
63.1638066364305,6.9024891063647,14.2321901716674,TRUE,TRUE
118.179587402621,59.1957505906486,38.7449188662941,TRUE,TRUE
41.3607916180037,31.6096154470969,57.3168213589461,TRUE,FALSE
32.0940478546546,24.608122779088,20.0262435750355,TRUE,TRUE
39.0131832238544,21.2236823129005,27.0000318637506,TRUE,TRUE
43.6795195324448,5.9159188150594,19.0240814910086,TRUE,TRUE
37.7050315152353,9.82146839082073,17.0631364306424,TRUE,TRUE
41.4956222502123,9.7767596171879,14.9041989024925,TRUE,TRUE
36.1493305837527,6.70200635760942,26.3439937675934,TRUE,TRUE
82.9652140949507,44.0274527594484,32.2973772278759,TRUE,TRUE
37.5528091397527,29.1378652166668,31.9550570677117,TRUE,TRUE
15.3570655558536,2.92825261782079,10.3544977287712,TRUE,TRUE
41.7952174109079,22.0946290559589,29.2034173269723,TRUE,TRUE
26.181375137204,9.16289727190785,19.2882166940587,TRUE,TRUE
79.9693837478734,46.0686629812606,31.5328228960437,TRUE,TRUE
46.5066688080514,18.8482885031458,26.1284979768702,TRUE,TRUE
112.750334655972,54.8092591292208,38.2665027792291,TRUE,TRUE
106.325896344238,45.9328890044703,40.0920573665961,TRUE,TRUE
76.518819920727,19.0294856783241,20.8960397669167,TRUE,TRUE
141.471611714043,64.8434206781629,38.3581871857545,TRUE,TRUE
145.921887121337,88.244180345043,46.8056137637645,TRUE,TRUE
46.3769155856685,22.6560654142968,34.0390511051729,TRUE,TRUE
32.0008937042507,9.19904627322316,17.4814038850312,TRUE,TRUE
