from,to
1,122
2,3
5,45
8,287
9,247
11,263
16,148
17,91
18,163
19,39
24,98
25,187
26,268
27,147
32,108
34,292
35,239
36,44
38,295
40,242
41,270
42,43
48,133
49,111
50,59
52,63
54,6
57,302
58,94
61,229
64,308
65,167
66,4
67,78
72,73
80,243
81,95
83,166
85,31
88,290
89,139
90,226
96,56
99,212
100,60
104,299
105,260
106,171
107,219
110,14
112,282
113,87
114,115
116,286
117,118
119,23
120,214
123,124
128,303
129,222
130,131
132,215
134,271
136,84
137,161
138,127
141,181
144,146
145,310
152,294
154,284
155,191
156,173
157,246
160,223
162,275
164,205
165,143
168,175
169,46
170,149
172,28
176,74
177,121
178,10
179,79
180,62
184,153
185,13
186,255
188,70
192,297
193,231
194,76
195,150
196,183
197,101
201,140
203,278
204,53
206,30
208,97
209,182
210,267
211,253
213,125
216,159
217,92
220,12
221,158
224,236
225,202
227,228
232,86
233,71
234,51
237,174
240,244
241,33
245,55
248,279
249,230
251,238
252,199
256,75
257,250
258,207
261,189
265,93
266,69
272,126
273,82
274,254
276,20
277,142
280,262
281,259
283,29
285,47
288,198
289,190
291,21
293,109
296,218
298,37
300,151
304,264
305,301
306,135
307,77
309,7
