from,to
1,163
2,7
3,21
8,113
9,181
10,165
12,94
16,51
18,14
19,134
20,79
24,39
25,149
26,92
27,180
28,142
29,85
32,167
34,141
40,171
41,4
42,43
44,102
45,22
48,95
49,17
50,36
52,63
57,117
58,47
59,183
64,87
65,127
66,75
68,71
72,33
74,172
76,77
78,23
80,73
81,6
82,155
83,103
88,69
89,150
90,115
91,174
93,13
96,112
97,62
98,147
99,46
100,182
101,125
104,139
105,133
106,38
107,61
108,151
109,175
110,119
114,35
120,161
122,11
123,53
124,54
128,111
129,130
131,84
132,31
136,135
137,138
140,143
144,126
145,159
146,166
152,70
153,158
154,157
156,148
160,116
162,37
164,60
168,30
169,55
170,118
173,86
176,67
177,121
178,5
179,15
184,56
