IW,E2MROW,R2MEOW,condition_01,condition_02
207.530373852023,224.238732954224,207.015417653382,FALSE,FALSE
134.571744521438,91.7646081264467,159.713777521298,TRUE,TRUE
208.967817280664,372.153958664713,223.484547033768,FALSE,FALSE
155.005469792093,108.473015206054,163.02180066057,TRUE,TRUE
146.76771891207,160.500550491423,213.824750819463,FALSE,FALSE
274.942921442947,477.414652302708,256.266540989635,FALSE,FALSE
86.0997504806219,72.8811172050484,121.819733236892,TRUE,FALSE
396.782364162299,526.630418292624,171.937506412242,FALSE,TRUE
291.283237208536,275.845002854597,173.842839236506,TRUE,TRUE
162.435853900358,211.400658946788,216.456888465897,FALSE,FALSE
126.70737736738,81.8764944668996,137.111148426326,TRUE,TRUE
112.998022492238,100.13339400022,151.578513669014,TRUE,FALSE
122.044867117259,134.122040225218,168.364748546625,FALSE,FALSE
177.566500421853,188.436877072029,184.305032774778,FALSE,FALSE
152.795527409038,148.05701962259,175.443947080656,TRUE,FALSE
107.628306216153,78.2115066971846,167.334135441959,TRUE,FALSE
154.421702926731,155.619507477499,160.463978732269,FALSE,FALSE
106.525431442184,98.3914050238107,174.082660305386,TRUE,FALSE
156.883743456379,116.047240912208,259.593054707526,TRUE,FALSE
220.396069949069,141.530309767143,246.37141852053,TRUE,TRUE
167.317204169435,187.063983788353,214.745406286541,FALSE,FALSE
136.531886712634,216.380002614965,264.827933089963,FALSE,FALSE
166.106697436424,224.412278143976,179.978995245497,FALSE,FALSE
