from,to
1,2
3,100
5,151
9,83
10,127
11,52
12,70
16,140
17,62
19,35
20,37
24,103
25,97
26,55
27,126
32,145
33,46
34,18
42,138
44,102
49,15
51,47
53,54
56,133
57,118
58,38
59,7
60,94
64,110
65,84
66,98
69,141
72,48
73,142
74,76
78,119
80,50
81,39
82,45
85,29
86,30
88,8
89,6
90,68
91,22
96,79
99,116
101,93
104,40
105,31
106,92
107,143
109,61
111,95
112,4
113,41
114,43
115,124
117,87
120,135
121,122
125,150
128,148
129,36
130,28
131,77
132,13
134,63
136,71
137,153
139,14
144,21
146,75
147,108
149,23
152,123
