IW,E2MROW,R2MEOW,condition_01,condition_02
61.931535260208,12.6811043727734,10.8773697842969,TRUE,TRUE
0.362902272695452,0,0,TRUE,TRUE
2.03224812741244,0,0,TRUE,TRUE
1.06443119214449,0,0,TRUE,TRUE
0.344391871540982,0,0,TRUE,TRUE
6.67187269756327,0,0,TRUE,TRUE
2.66942046373853,0,0,TRUE,TRUE
1.12650269010325,0,0,TRUE,TRUE
0.747746788464998,0,0,TRUE,TRUE
0.708239764876256,0,0,TRUE,TRUE
1.51676521340731,0,0,TRUE,TRUE
1.18210206819533,0,0,TRUE,TRUE
0.77335589518689,0,0,TRUE,TRUE
0.352937001932451,0,0,TRUE,TRUE
2.48922967321597,0,0,TRUE,TRUE
0.79159070214542,0,0,TRUE,TRUE
0.340698701627697,0,0,TRUE,TRUE
0.322004407356849,0,0,TRUE,TRUE
2.2820971642929,0,0,TRUE,TRUE
1.22639624722564,0,0,TRUE,TRUE
0.731233395222055,0,0,TRUE,TRUE
0.341135401681802,0,0,TRUE,TRUE
0.367903098841538,0,0,TRUE,TRUE
0.40230793444512,0,0,TRUE,TRUE
0.349849497325585,0,0,TRUE,TRUE
1.42499355343458,0,0,TRUE,TRUE
0.8045769594109,0,0,TRUE,TRUE
0.327930333150626,0,0,TRUE,TRUE
0.360528092916823,0,0,TRUE,TRUE
0.77351257584228,0,0,TRUE,TRUE
0.400319568023473,0,0,TRUE,TRUE
0.749273777843564,0,0,TRUE,TRUE
0.34449478815596,0,0,TRUE,TRUE
0.342423934357414,0,0,TRUE,TRUE
0.44391145649879,0,0,TRUE,TRUE
0.346875805205124,0,0,TRUE,TRUE
0.385591286417276,0,0,TRUE,TRUE
0.358175178521555,0,0,TRUE,TRUE
0.369150589016403,0,0,TRUE,TRUE
0.676375579465731,0,0,TRUE,TRUE
0.73899696622122,0,0,TRUE,TRUE
0.354635686255626,0,0,TRUE,TRUE
1.45701651452767,0,0,TRUE,TRUE
0.412238873268627,0,0,TRUE,TRUE
0.330038288181082,0,0,TRUE,TRUE
0.347209259818034,0,0,TRUE,TRUE
0.347890640939025,0,0,TRUE,TRUE
0.363678821102078,0,0,TRUE,TRUE
0.507075757743454,0,0,TRUE,TRUE
0.394978150462242,0,0,TRUE,TRUE
382.379235352952,27.61573477646,74.8867153276792,TRUE,TRUE
78.4014186742186,26.765186530839,31.2265220259627,TRUE,TRUE
33.4467107417081,2.92673475918738,1.71523216424716,TRUE,TRUE
63.0184709873784,5.61758084229961,8.37233886990534,TRUE,TRUE
80.58490954708,19.7577547907653,28.3915716572448,TRUE,TRUE
17.9803905391601,0.859004592296343,3.52456763913439,TRUE,TRUE
36.3264326641451,9.27896036887061,4.5791984652934,TRUE,TRUE
50.2657394059724,8.07345479982225,6.20111763633075,TRUE,TRUE
68.8826360385449,11.2676885013692,17.1820440119794,TRUE,TRUE
1.11534502627896,13.1258434457683,0.800598483468081,FALSE,FALSE
53.4236270655478,57.0921624533945,20.3229125408106,FALSE,TRUE
23.3293566377078,15.4288070682715,6.27439986375714,TRUE,TRUE
11.1592017698587,8.27218499875018,4.40761383075772,TRUE,TRUE
