ontology,measure,in-cluster_similarity_score,inter-cluster_similarity_score
BP,Jiang,0.161,0.128
BP,Lin,0.164,0.143
BP,Rel,0.135,0.114
BP,Resnik,0.087,0.079
BP,Wang,0.162,0.146
CC,Jiang,0.507,0.467
CC,Lin,0.256,0.22
CC,Rel,0.177,0.151
CC,Resnik,0.071,0.065
CC,Wang,0.381,0.341
MF,Jiang,0.362,0.327
MF,Lin,0.214,0.183
MF,Rel,0.149,0.127
MF,Resnik,0.056,0.048
MF,Wang,0.34,0.317
