ontology,measure,in-cluster_similarity_score,inter-cluster_similarity_score
BP,Jiang,0.158,0.125
BP,Lin,0.161,0.139
BP,Rel,0.133,0.111
BP,Resnik,0.087,0.077
BP,Wang,0.159,0.145
CC,Jiang,0.506,0.467
CC,Lin,0.257,0.22
CC,Rel,0.177,0.15
CC,Resnik,0.071,0.064
CC,Wang,0.381,0.342
MF,Jiang,0.358,0.324
MF,Lin,0.209,0.18
MF,Rel,0.145,0.125
MF,Resnik,0.054,0.048
MF,Wang,0.338,0.311
